date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:58	122/122	---MCZ	200	added ('OK')	text/plain	date:Sun,%2002%20Feb%202025%2017:34:56%20GMT	https://softnio.com/robots.txt		(from )
23:34:58	37609/37609	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2020:17:31%20GMT	https://softnio.com/	C:/My%20Web%20Sites/protfolio/softnio.com/index.html	(from )
23:34:58	17109/17109	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2001%20Oct%202022%2013:12:38%20GMT	https://softnio.com/xmlrpc.php	C:/My%20Web%20Sites/protfolio/softnio.com/xmlrpc.php	(from https://softnio.com/)
23:34:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Feb%202025%2017:34:57%20GMT	http://softnio.com/wp-content/cache/wpfc-minified/70d1q3qa/br6vr.css	C:/My%20Web%20Sites/protfolio/softnio.com/wp-content/cache/wpfc-minified/70d1q3qa/br6vr.1.delayed	(from https://softnio.com/)
23:34:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Feb%202025%2017:34:58%20GMT	http://softnio.com/wp-content/cache/wpfc-minified/8yv973jq/br6vr.js	C:/My%20Web%20Sites/protfolio/softnio.com/wp-content/cache/wpfc-minified/8yv973jq/br6vr.js	(from https://softnio.com/)
23:34:59	255171/255171	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Sep%202024%2005:41:47%20GMT	https://softnio.com/wp-content/cache/wpfc-minified/70d1q3qa/br6vr.css	C:/My%20Web%20Sites/protfolio/softnio.com/wp-content/cache/wpfc-minified/70d1q3qa/br6vr.css	(from https://softnio.com/)
23:34:59	185150/185150	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2018%20Sep%202024%2005:41:47%20GMT	https://softnio.com/wp-content/cache/wpfc-minified/8yv973jq/br6vr.js	C:/My%20Web%20Sites/protfolio/softnio.com/wp-content/cache/wpfc-minified/8yv973jq/br6vr.js	(from https://softnio.com/)
23:35:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Feb%202025%2017:34:58%20GMT	http://softnio.com/wp-content/cache/wpfc-minified/3kifn2t/br6vr.js	C:/My%20Web%20Sites/protfolio/softnio.com/wp-content/cache/wpfc-minified/3kifn2t/br6vr.js	(from https://softnio.com/)
23:35:01	1721/1721	---MCZ	200	added ('OK')	text/xml	date:Sun,%2002%20Feb%202025%2017:34:59%20GMT	https://softnio.com/comments/feed/	C:/My%20Web%20Sites/protfolio/softnio.com/comments/feed/index.html	(from https://softnio.com/)
23:35:01	809/809	---MCZ	200	added ('OK')	text/xml	date:Sun,%2002%20Feb%202025%2017:34:59%20GMT	https://softnio.com/feed/	C:/My%20Web%20Sites/protfolio/softnio.com/feed/index.html	(from https://softnio.com/)
23:35:01	40575/40575	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Sep%202024%2005:41:47%20GMT	https://softnio.com/wp-content/cache/wpfc-minified/3kifn2t/br6vr.js	C:/My%20Web%20Sites/protfolio/softnio.com/wp-content/cache/wpfc-minified/3kifn2t/br6vr.js	(from https://softnio.com/)
